  cell  ,E,W,N,S
"(74, 9)",1,0,0,1
"(75, 9)",0,1,1,0
"(76, 9)",1,1,0,0
"(77, 9)",1,1,0,0
"(78, 9)",0,1,0,0
"(79, 9)",1,0,0,1
"(80, 9)",0,1,1,1
"(81, 9)",1,0,1,1
"(82, 9)",1,1,1,0
"(83, 9)",1,1,0,0
"(84, 9)",1,1,0,0
"(85, 9)",0,1,0,1
"(86, 9)",1,0,1,1
"(87, 9)",0,0,1,1
"(88, 9)",0,0,1,1
"(89, 9)",0,0,1,1
"(90, 9)",1,0,1,1
"(91, 9)",0,0,1,1
"(92, 9)",0,0,1,1
"(93, 9)",1,0,1,0
"(94, 9)",1,1,0,1
"(95, 9)",0,1,1,1
"(96, 9)",1,0,1,1
"(97, 9)",0,0,1,1
"(98, 9)",1,1,1,0
"(99, 9)",0,1,0,1
"(100, 9)",1,1,1,0
"(1, 10)",0,1,0,1
"(2, 10)",0,1,1,0
"(3, 10)",0,1,0,1
"(4, 10)",0,1,1,1
"(5, 10)",0,0,1,1
"(6, 10)",0,1,1,1
"(7, 10)",0,1,1,1
"(8, 10)",0,0,1,1
"(9, 10)",0,1,1,1
"(10, 10)",0,0,1,1
"(11, 10)",0,1,1,1
"(12, 10)",0,0,1,1
"(13, 10)",0,0,1,1
"(14, 10)",0,0,1,1
"(15, 10)",0,0,1,1
"(16, 10)",0,0,1,1
"(17, 10)",0,1,1,0
"(18, 10)",0,1,0,1
"(19, 10)",0,0,1,1
"(20, 10)",0,0,1,1
"(21, 10)",0,1,1,1
"(22, 10)",0,1,1,0
"(23, 10)",0,1,0,1
"(24, 10)",0,1,1,1
"(25, 10)",0,0,1,1
"(26, 10)",0,1,1,1
"(27, 10)",0,0,1,1
"(28, 10)",0,1,1,1
"(29, 10)",0,0,1,1
"(30, 10)",0,1,1,1
"(31, 10)",0,0,1,1
"(32, 10)",0,0,1,1
"(33, 10)",0,1,1,0
"(34, 10)",0,1,0,1
"(35, 10)",0,0,1,1
"(36, 10)",0,1,1,0
"(37, 10)",0,1,0,1
"(38, 10)",0,1,1,1
"(39, 10)",0,0,1,1
"(40, 10)",0,0,1,1
"(41, 10)",0,1,1,0
"(42, 10)",0,0,0,1
"(43, 10)",0,0,1,1
"(44, 10)",0,0,1,1
"(45, 10)",0,1,1,1
"(46, 10)",0,1,1,0
"(47, 10)",0,0,0,1
"(48, 10)",0,1,1,1
"(49, 10)",0,1,1,0
"(50, 10)",0,1,0,1
"(51, 10)",0,0,1,1
"(52, 10)",0,1,1,1
"(53, 10)",0,1,1,0
"(54, 10)",0,1,0,1
"(55, 10)",0,1,1,0
"(56, 10)",0,1,0,1
"(57, 10)",0,1,1,1
"(58, 10)",0,0,1,1
"(59, 10)",0,1,1,1
"(60, 10)",0,1,1,1
"(61, 10)",0,0,1,1
"(62, 10)",0,1,1,1
"(63, 10)",0,1,1,1
"(64, 10)",0,0,1,1
"(65, 10)",0,1,1,1
"(66, 10)",0,1,1,1
"(67, 10)",0,0,1,1
"(68, 10)",0,1,1,0
"(69, 10)",0,0,0,1
"(70, 10)",0,0,1,1
"(71, 10)",0,0,1,1
"(72, 10)",0,1,1,1
"(73, 10)",0,1,1,0
"(74, 10)",0,1,0,1
"(75, 10)",0,0,1,1
"(76, 10)",0,1,1,1
"(77, 10)",0,1,1,1
"(78, 10)",0,0,1,1
"(79, 10)",0,1,1,1
"(80, 10)",0,0,1,1
"(81, 10)",0,1,1,0
"(82, 10)",0,1,0,1
"(83, 10)",0,1,1,1
"(84, 10)",0,1,1,0
"(85, 10)",0,0,0,1
"(86, 10)",0,1,1,1
"(87, 10)",0,0,1,1
"(88, 10)",0,0,1,1
"(89, 10)",0,0,1,1
"(90, 10)",0,1,1,1
"(91, 10)",0,0,1,1
"(92, 10)",0,0,1,1
"(93, 10)",0,1,1,1
"(94, 10)",0,1,1,0
"(95, 10)",0,0,0,1
"(96, 10)",0,1,1,1
"(97, 10)",0,0,1,1
"(98, 10)",0,1,1,1
"(99, 10)",0,0,1,1
"(100, 10)",0,1,1,0
